VideoID;AuthorDisplayName;Comment;LikeCount;PublishedAt;UpdatedAt;ParentID;CommentID
dQw4w9WgXcQ;TechGuru88;This video changed my perspective! Highly recommend. 👍 https://www.example.com/video1;154;2024-06-20T14:35:01Z;2024-06-20T14:35:01Z;NA;Ugw3KPnh-5QJnBpeymd4AaABAg
xyz789AbCde;ArtLover22;Absolutely stunning visuals! ✨;87;2024-06-19T18:02:10Z;2024-06-19T18:02:10Z;NA;Ugy9J-5h-1RKnBpeymd4AabGAg
fGHjKlMnOpq;GamerProX;LOL, this part was hilarious! 😂;301;2024-06-18T10:15:45Z;2024-06-18T10:15:45Z;NA;Ugw2E-8j-7FKmBpeymd4AaACBg
PqRsTuVwXyz;MusicFanatic_1;The soundtrack is just perfect! 🎶 Check out this hidden gem: https://www.music.example.com/track7;210;2024-06-17T22:40:00Z;2024-06-17T22:40:00Z;NA;Ugx0L-9k-6SMlBpeymd4AaACAg
aBcDeFgHiJk;CookWithMe;So many great tips! Will definitely try this recipe. 😊;95;2024-06-16T09:05:30Z;2024-06-16T09:05:30Z;NA;Ugx3M-6n-8NTmBpeymd4AaADAg
LmNoPqRsTuv;TravelExplorer;Dream destination! ✈️ I need to go here. :-);180;2024-06-15T16:50:12Z;2024-06-15T16:50:12Z;NA;Ugw7Q-2p-3QUoBpeymd4AaAEAg
wXyZaBcDeFf;BookwormB;Insightful analysis, truly thought-provoking. What are your thoughts? :-D;120;2024-06-14T11:20:05Z;2024-06-14T11:20:05Z;NA;Ugy1R-0q-9RVpBpeymd4AaAFAg
gHiJkLmNoPp;FitnessFreak;Motivating content! 💪 Keep up the great work.;65;2024-06-13T07:30:10Z;2024-06-13T07:30:10Z;NA;Ugz5S-4t-1SWqBpeymd4AaAGAg
QrStUvWxYza;MovieBuff_7;A classic! Still gives me chills. 😱;250;2024-06-12T20:00:00Z;2024-06-12T20:00:00Z;NA;Ugy8T-7u-2TXrBpeymd4AaAHAh
bCdEfGhIjJk;FashionistaF;Love the outfit ideas! Where can I find more like this? https://www.style.example.com/blog;110;2024-06-11T13:10:20Z;2024-06-11T13:10:20Z;NA;Ugy2U-6v-0UYsBpeymd4AaAIi
lMnOqRsTuUv;ScienceGeek;Fascinating explanation of quantum physics. ⚛️;190;2024-06-10T17:45:10Z;2024-06-10T17:45:10Z;NA;Ugw4V-9w-4WXtBpeymd4AaAJj
wXyZaBcDeGg;DIYQueen;Such a clever hack! Gonna try this weekend. 😉;70;2024-06-09T09:55:00Z;2024-06-09T09:55:00Z;NA;Ugw6W-1x-8YXxBpeymd4AaAKk
hIjKlMnOoPq;PetLoverP;Aww, so cute! 🐶❤️;350;2024-06-08T19:20:15Z;2024-06-08T19:20:15Z;NA;Ugy0X-3y-7ZYzBpeymd4AaALl
RsTuVwXyZaB;HistoryBuff;Learned so much from this! 📜 Highly recommend checking out this article too: https://www.history.example.com/ancient-rome;160;2024-06-07T14:00:00Z;2024-06-07T14:00:00Z;NA;Ugz9Y-5z-6AZABpeymd4AaAMm
cDeFgHiJkLl;FoodieFrenzy;My new favorite recipe! 😋 Thank you!;130;2024-06-06T12:12:12Z;2024-06-06T12:12:12Z;NA;Ugw1Z-8a-5BACBpeymd4AaANn
mNoPqRsTuUv;PhotographyP;Amazing lighting! Any tips on achieving this? 📸;90;2024-06-05T16:30:00Z;2024-06-05T16:30:00Z;NA;Ugw5A-0b-3CDBpeymd4AaAOo
wXyZaBcDeHh;TechEnthusiast;Mind-blowing technology! 🚀;220;2024-06-04T11:00:00Z;2024-06-04T11:00:00Z;NA;Ugy7B-4d-1EFCBpeymd4AaAPP
iJkLmNoPpQq;NatureLoverN;So peaceful and beautiful. 🌳😊;100;2024-06-03T08:45:00Z;2024-06-03T08:45:00Z;NA;Ugx0C-7f-0GHDBpeymd4AaAQq
rStUvWxYzAa;ArtistAtHeart;Inspiring work! What brushes do you use? 🤔;75;2024-06-02T21:10:00Z;2024-06-02T21:10:00Z;NA;Ugy3D-2h-9IJEBpeymd4AaARr
bCdEfGhIjKk;GadgetGeek;Need this gadget in my life! Take a look: https://www.gadget.example.com/new-device;170;2024-06-01T15:20:00Z;2024-06-01T15:20:00Z;NA;Ugw9E-6k-7LMFBpeymd4AaASs
lMnOqRsTuVv;SpaceExplorer;Unbelievable! 🌌 We live in an amazing universe. :O;280;2024-05-31T19:00:00Z;2024-05-31T19:00:00Z;NA;Ugz2F-8l-4NOGBpeymd4AaATt
wXyZaBcDeIi;DIYDad;Practical and easy! Thanks for sharing. 👍;80;2024-05-30T10:40:00Z;2024-05-30T10:40:00Z;NA;Ugy4G-1n-2PQHBpeymd4AaAUu
jKlMnOoPpQq;HealthNut;Great advice on nutrition. 🍎 Feeling motivated!;115;2024-05-29T07:00:00Z;2024-05-29T07:00:00Z;NA;Ugx6H-5o-0RSI
rStUvWxYzBb;GamerGirl;So many memories from this game! ❤️;195;2024-05-28T23:00:00Z;2024-05-28T23:00:00Z;NA;Ugw8I-7p-3TVJ
cDeFgHiJkLk;TravelBug;Adding this to my bucket list! 🌍 :-);140;2024-05-27T14:50:00Z;2024-05-27T14:50:00Z;NA;Ugw0J-9q-1WUK
mNoPqRsTuVv;CodingMaster;Very clear tutorial, thanks! For more coding tips, visit: https://www.code.example.com/tutorials;200;2024-05-26T12:00:00Z;2024-05-26T12:00:00Z;NA;Ugy2K-8r-4XVL
wXyZaBcDeJj;HistorianH;Such a detailed documentary! Impressive research. 🧐;105;2024-05-25T18:30:00Z;2024-05-25T18:30:00Z;NA;Ugw4L-0s-7YWM
kLmNoPpQqRr;MindfulM;This really helped me relax. 🙏;70;2024-05-24T09:15:00Z;2024-05-24T09:15:00Z;NA;Ugy6M-3t-9ZBN
sTuVwXyZaCc;CarEnthusiast;What a beauty! 🏎️💨;260;2024-05-23T20:40:00Z;2024-05-23T20:40:00Z;NA;Ugw9N-5u-2CAD
dEfGhIjKlLl;GardeningGuru;My plants are thriving now! 🌸 This guide helped immensely: https://www.garden.example.com/tips;135;2024-05-22T13:00:00Z;2024-05-22T13:00:00Z;NA;Ugy1O-7v-0EAE
mNoPqRsTuVv;BookLover;Such a compelling story. 📚;165;2024-05-21T17:25:00Z;2024-05-21T17:25:00Z;NA;Ugw3P-9w-4FBF
wXyZaBcDeKk;DIYer_Girl;I wish I had seen this sooner! So simple. 😄;85;2024-05-20T11:10:00Z;2024-05-20T11:10:00Z;NA;Ugy5Q-2x-7GCG
lMnOqRsTuVv;FoodCritic;This looks absolutely delicious! 🤤;175;2024-05-19T19:50:00Z;2024-05-19T19:50:00Z;NA;Ugw7R-4y-9HDA
